"","Aguiar_2007_row_names","Aguilar_Garavito_2014_mature_row_names","Albrecht_102_2012_row_names","Albrecht_11_2012_row_names","Albrecht_111_2011_row_names","Albrecht_111_2012_row_names","Albrecht_112_2011_row_names","Albrecht_112_2012_row_names","Albrecht_13_2012_row_names","Albrecht_15_2012_row_names","Albrecht_203_2012_row_names","Albrecht_30_2012_row_names","Albrecht_301_2012_row_names","Albrecht_314_2012_row_names","Albrecht_315_2011_row_names","Albrecht_315_2012_row_names","Albrecht_35_2012_row_names","Albrecht_36_2012_row_names","Andrade_2011_row_names","Arias_Arone_2016_row_names","Athie_2009_row_names","Blake_1992_row_names","Blendinger_2015_row_names","Brito_2010_row_names","Burns_2013_row_names","Carvalho_2008_row_names","Castano_2018_row_names","Castley_2001_row_names","Castro_2015_row_names","Castro_Luna_2012_row_names","Chen_1999_row_names","Chimera_2010_row_names","Correa_2016_Apaporis_row_names","Correa_2016_Caqueta_row_names","Costa_2013_endozoochory_row_names","Cruz_2013_Autumn_row_names","Cruz_2013_Summer_row_names","Cruz_2013_Winter_row_names","Daru_2015_row_names","David_2011_tree_focal_watches_row_names","de_Oliveira_1999_row_names","Dehling_2017_San_Pedro_1_row_names","Dehling_2017_San_Pedro_2_row_names","Dehling_2017_San_Pedro_3_row_names","Dehling_2017_San_Pedro_4_row_names","Dehling_2017_Wayqecha_1_row_names","Dehling_2017_Wayqecha_2_row_names","Dehling_2017_Wayqecha_3_row_names","Dehling_2017_Wayqecha_4_row_names","Dos_Reis_1983_Cult_et_form_sec_row_names","Engel_2000_row_names","Fadini_2004_row_names","Faria_1996_row_names","Faustino_2006_row_names","Fleming_1977_row_names","Fricke_2018_Saipan_row_names","Fuentes_1994_row_names","Garcia_2014_Blue_Duck_row_names","Garcia_2014_Charles_Plimmer_row_names","Garcia_2014_George_Denton_row_names","Garcia_2014_Mount_Fyfee_Reserve_row_names","Garcia_2014_Puhi_Puhi_River_row_names","Garcia_2014_Zealandia_row_names","Garcia_2016_row_names","Garcia_Estrada_2012_row_names","Garcia_et_al_2000_row_names","Garcia_Morales_2012_row_names","Genrich_2017_row_names","Gomes_2013_row_names","Gorchov_1995_row_names","Hayashi_1996_row_names","Hernandez_Montero_2015_B4_Dry_row_names","Hernandez_Montero_2015_B4_Norte_row_names","Hovestadt_1997_row_names","Jaroszewicz_2013_row_names","Jayasekara_2003_row_names","Jayasekara_2007_row_names","Kamruzzaman_2008_row_names","Kessler_Rios_2012_row_names","Koike_2008_row_names","Labbe_2011_row_names","Lessa_2010_row_names","Lessa_2013_row_names","Lima_2016_row_names","Lopez_and_Vaughn_2004_row_names","Lou_2005_row_names","Lou_2007_row_names","M_SD_001_row_names","M_SD_002_row_names","M_SD_003_row_names","M_SD_004_row_names","M_SD_005_row_names","M_SD_006_row_names","M_SD_008_row_names","M_SD_009_row_names","M_SD_010_single_partners_added_row_names","M_SD_012_row_names","M_SD_020_row_names","M_SD_031_row_names","M_SD_033_row_names","M_SD_034_row_names","MacFarlane_2016_row_names","Machado_de_Souza_2019_row_names","Malacco_da_Silva_2014_row_names","Malmborg_1988_1980_row_names","Malmborg_1988_1981_row_names","Malmborg_1988_1982_row_names","Mancina_2007_dry_row_names","Marcos_da_Silva_2013_row_names","Mello_2014_Mata_de_Grota_row_names","Menke_2012_edge_highly_dist_row_names","Menke_2012_edge_little_dist_row_names","Menke_2012_interior_highly_dist_row_names","Menke_2012_interior_little_dist_row_names","Munin_2012_row_names","Munster_2008_row_names","Nogales_2017_row_names","Noma_1997_row_names","Novoa_2011_row_names","Odonnell_1994_row_names","Palita_2011_row_names","Palmeirim_1989_row_names","Passos_2003_row_names","Pedro_1992_row_names","Peredo_2013_Pto_de_San_Lorenzo_row_names","Peredo_2013_Puertos_de_Marabio_row_names","Pratt_1985_row_names","Preciado_Benitez_2015_row_names","Quitian_2018_1000Fragmented_row_names","Quitian_2018_1000Natural_row_names","Quitian_2018_2000Fragmented_row_names","Quitian_2018_2000Natural_row_names","Ramos_Robles_2016_net10_row_names","Ramos_Robles_2016_net2_row_names","Ramos_Robles_2016_net3_row_names","Ramos_Robles_2016_net4_row_names","Ramos_Robles_2016_net6_row_names","Ramos_Robles_2016_net7_row_names","Ramos_Robles_2016_net8_row_names","Robinson_2015_row_names","SAAV1_row_names","SAAV2_row_names","Sanchez_2012_Iguazu_row_names","Santiago_2014_close_to_remnant_row_names","Santiago_2014_far_from_remnant_row_names","SARM_whole_network_from_paper_row_names","Sethi_2012_row_names","Silva_Oliveira_2018_row_names","Silveira_2006_row_names","Snow_1988_DJF_row_names","Snow_1988_JJA_row_names","Snow_1988_MAM_row_names","Snow_1988_SON_row_names","Sorensen_1981_row_names","Souza_Laurindo_2017_row_names","Suzuki_2007_row_names","Tavares_2007_row_names","Traveset_1992_row_names","VELHO_row_names","VELHO2_row_names","Williams_1996_Eves_row_names","Williams_1996_Marsden_row_names","Wolfe_2014_row_names","Wyman_2017_row_names","Zamora_Delgado_2008_row_names","Zapata_Mesa_2017_MR_September_row_names"
"Dos_Reis_1983_Cult_et_form_sec_row_names",0.98,0.973684210526316,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.979381443298969,0.958333333333333,1,1,0.921052631578947,1,0.975609756097561,0.936507936507936,1,1,0.954545454545454,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.996497373029772,1,0.977777777777778,1,1,0.971428571428571,1,1,1,1,1,1,1,1,0.96969696969697,0.952380952380952,0.953488372093023,1,0.96,0.990990990990991,0.976190476190476,1,1,1,1,1,1,0.963636363636364,1,1,1,1,1,1,0.951612903225806,1,0.979166666666667,1,1,1,1,1,1,1,1,0.967391304347826,1,1,1,1,1,1,1,1,1,1,1,0.974358974358974,1,1,1,1,1,1,0.947368421052632,1,0.987179487179487,1,0.96,1,1,0.968253968253968,0.980769230769231,0.975609756097561,1,1,1,0.926829268292683,1,1,1,1,0.975,1,1,1,1,0.972222222222222,0.975609756097561,0.971428571428571,1,1,0.931818181818182,1,1,0.962962962962963,1,0.947368421052632,0.942857142857143,1,1,1,1,1,0.952380952380952,1,1,1,1,1,1,1,1,1,0.990384615384615,0.914285714285714
"Engel_2000_row_names",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.996434937611408,1,1,1,1,1,0.998272884283247,1,1,1,1,1,1,1,1,1,1,1,0.994525547445255,0.998217468805704,1,1,1,1,1,1,1,1,1,0.996497373029772,0,1,1,1,1,0.998175182481752,1,1,1,1,1,1,1,1,0.996545768566494,0.998201438848921,0.998204667863555,1,1,1,0.996389891696751,1,1,0.989380530973451,1,1,1,0.991150442477876,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.990974729241877,1,0.99504132231405,1,1,1,1,0.987697715289982,1,1,1,1,1,1,1,1,1,0.990842490842491,0.990825688073394,0.990842490842491,0.990842490842491,1,1,0.996610169491525,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.998211091234347,1,1,1,1,1,1,1,1,1,1,1,1,0.996688741721854,1,1,1,1,1,1,1,1,1,0.998181818181818
"Fadini_2004_row_names",0.977777777777778,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.954545454545454,1,0.977272727272727,1,0.978260869565217,1,1,1,1,1,0.911764705882353,1,1,1,1,1,1,1,1,1,1,1,0.976744186046512,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0.973684210526316,1,0.981132075471698,0.978260869565217,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.956521739130435,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.954545454545454,1,1,1,1,1,1,0.972222222222222,1,1,1,1,1,0.980769230769231,1,1,1,1,1,1,0.978723404255319,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.96969696969697,1,1,1,1,1,1,1,1,1
"Faria_1996_row_names",0.911764705882353,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.941176470588235,1,1,0.826086956521739,1,0.88,0.980769230769231,1,1,0.942307692307692,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.977777777777778,1,1,0,1,0.863636363636364,1,1,1,1,1,1,1,1,1,0.981132075471698,1,0.931034482758621,0.953488372093023,0.882352941176471,0.989690721649485,0.925925925925926,1,1,1,1,1,1,1,1,1,1,1,1,0.973684210526316,0.98,0.977272727272727,1,1,1,1,1,1,1,1,1,1,0.959183673469388,1,1,1,1,1,0.990476190476191,1,1,1,1,0.96,0.95,0.923076923076923,1,1,1,1,0.869565217391304,0.952380952380952,1,1,0.914285714285714,1,1,0.98,0.945945945945946,0.88,1,1,1,0.928571428571429,1,1,1,1,0.961538461538461,1,1,1,1,0.904761904761905,0.923076923076923,0.9,1,1,0.821428571428572,1,1,0.970588235294118,1,0.96,0.954545454545454,1,1,1,1,1,0.96551724137931,1,0.863636363636364,1,1,1,1,1,1,1,1,0.956521739130435
"Faustino_2006_row_names",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.982456140350877,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.988888888888889,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.989795918367347,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.976190476190476,0.962962962962963,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Fleming_1977_row_names",0.96551724137931,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.964285714285714,1,1,0.888888888888889,1,0.95,1,1,1,0.909090909090909,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.863636363636364,1,0,1,1,1,1,1,1,1,1,1,0.955555555555556,1,0.857142857142857,1,1,1,0.9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.944444444444444,0.962962962962963,1,1,1,1,1,1,1,1,0.986301369863014,1,1,1,1,1,1,1,1,1,1,1,0.944444444444444,1,1,1,1,1,1,0.944444444444444,1,1,1,0.931034482758621,1,1,1,1,0.95,1,1,1,0.954545454545454,1,1,1,1,1,1,1,1,1,0.857142857142857,0.894736842105263,1,1,1,0.916666666666667,0.904761904761905,0.909090909090909,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9375
"Fricke_2018_Saipan_row_names",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.971428571428571,0.998175182481752,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0.947368421052632,1,1,1,1,1,1,1,1,1,1,1,0.96875,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Fuentes_1994_row_names",1,1,1,1,0.9375,0.947368421052632,1,1,0.944444444444444,0.95,1,0.947368421052632,1,1,0.944444444444444,0.947368421052632,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.888888888888889,1,0.947368421052632,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0.956521739130435,1,1,0.962962962962963,1,0.944444444444444,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.84375,0.980769230769231,1,1,0.96,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.882352941176471,0.875,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.888888888888889,0.896551724137931,0.875,0.896551724137931,0.954545454545454,1,1,1,0.941176470588235,1,1,0.956521739130435,1,1,1,1,1
"Garcia_2014_Blue_Duck_row_names",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.681818181818182,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.789473684210526,0.842105263157895,0.5,0.65,0.722222222222222,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.80952380952381,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.868421052631579,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.789473684210526,0.814814814814815,1,0.885714285714286,1,1
"Garcia_2014_Charles_Plimmer_row_names",1,1,1,1,1,1,1,1,0.944444444444444,0.95,1,0.947368421052632,1,1,1,1,1,1,1,1,1,1,1,1,0.695652173913044,1,1,1,1,0.98,1,1,1,1,0.96551724137931,0.9375,0.947368421052632,0.944444444444444,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.956521739130435,0.789473684210526,0,0.5625,0.777777777777778,0.666666666666667,0.588235294117647,0.882352941176471,1,1,1,1,0.96969696969697,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.972222222222222,1,1,1,0.7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.983333333333333,1,1,1,1,1,1,1,0.944444444444444,0.941176470588235,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.984615384615385,1,1,1,0.96551724137931,0.933333333333333,0.941176470588235,0.933333333333333,0.904761904761905,1,1,1,1,1,1,0.588235294117647,0.730769230769231,1,0.823529411764706,1,1
"Garcia_2014_George_Denton_row_names",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.55,1,1,1,1,0.979591836734694,1,1,1,1,0.964285714285714,0.933333333333333,0.944444444444444,0.941176470588235,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.842105263157895,0.5625,0,0.6875,0.714285714285714,0.647058823529412,0.941176470588235,1,1,1,1,0.96875,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.80952380952381,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.983050847457627,1,1,0.925,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.984375,1,1,1,1,0.966666666666667,1,0.966666666666667,0.952380952380952,1,1,1,1,1,1,0.722222222222222,0.72,1,0.818181818181818,1,1
"Garcia_2014_Mount_Fyfee_Reserve_row_names",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.666666666666667,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0.777777777777778,0.6875,0,0.631578947368421,0.705882352941176,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.833333333333333,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.777777777777778,0.708333333333333,1,0.8125,1,1
"Garcia_2014_Puhi_Puhi_River_row_names",1,1,1,1,1,1,1,1,0.954545454545454,0.958333333333333,1,0.956521739130435,1,1,1,1,1,1,1,1,1,1,1,1,0.521739130434783,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.962962962962963,0.65,0.666666666666667,0.714285714285714,0.631578947368421,0,0.666666666666667,0.954545454545454,1,1,1,1,1,1,1,1,1,1,0.995169082125604,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.975,1,1,1,0.75,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.857142857142857,1,1,1,1,0.954545454545454,0.952380952380952,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.96969696969697,0.971428571428571,0.952380952380952,0.971428571428571,0.961538461538461,1,1,1,1,1,1,0.782608695652174,0.724137931034483,1,0.871794871794872,1,1
"Garcia_2014_Zealandia_row_names",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.421052631578947,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.722222222222222,0.588235294117647,0.647058823529412,0.705882352941176,0.666666666666667,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.818181818181818,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.736842105263158,0.68,1,0.857142857142857,1,1
"Garcia_2016_row_names",1,1,0.928571428571429,0.928571428571429,0.909090909090909,1,0.909090909090909,0.928571428571429,0.727272727272727,0.769230769230769,0.933333333333333,0.75,0.916666666666667,0.909090909090909,0.923076923076923,0.928571428571429,0.928571428571429,0.928571428571429,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.958333333333333,1,0.928571428571429,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.944444444444444,1,0.882352941176471,0.941176470588235,1,0.954545454545454,1,0,1,1,1,1,1,1,1,1,1,1,0.994949494949495,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.896551724137931,1,1,1,0.894736842105263,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.727272727272727,0.818181818181818,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.80952380952381,0.714285714285714,0.818181818181818,0.65,0.8,1,1,1,1,1,1,0.882352941176471,0.962962962962963,1,1,1,1
"Garcia_Estrada_2012_row_names",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.964285714285714,0.992592592592593,1,1,1,1,0.986486486486487,1,1,0.930555555555556,1,1,1,0.986666666666667,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.96969696969697,0.996545768566494,1,0.981132075471698,1,0.955555555555556,1,1,1,1,1,1,1,1,1,0,1,0.918367346938776,1,1,1,0.959183673469388,0.976744186046512,0.952380952380952,1,1,1,1,0.984375,1,1,1,1,1,1,0.957142857142857,0.969230769230769,0.963636363636364,1,1,1,1,1,1,1,1,0.97,1,1,1,1,1,1,1,1,1,1,1,0.978723404255319,1,1,1,1,1,1,1,1,0.988372093023256,1,0.983050847457627,1,1,0.957142857142857,1,1,1,1,1,0.96,1,1,1,1,1,1,0.977777777777778,1,1,1,1,1,1,1,0.981481481481482,0.916666666666667,0.918367346938776,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.954545454545454
"Garcia_et_al_2000_row_names",0.939393939393939,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.98780487804878,1,1,1,0.958333333333333,1,0.96,0.98,1,0.983870967741935,0.980769230769231,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.952380952380952,0.998201438848921,0.973684210526316,1,1,1,0.947368421052632,1,1,1,1,1,1,1,1,1,0,1,0.976190476190476,0.971428571428571,0.989473684210526,1,1,1,1,1,1,1,0.975,1,1,1,1,1,0.972222222222222,0.979166666666667,1,0.96875,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.956521739130435,1,0.96,1,1,1,1,0.956521739130435,0.975609756097561,1,1,0.971428571428571,1,1,1,0.942857142857143,1,1,1,1,0.962962962962963,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.966666666666667,1,1,0.985074626865672,1,1,0.95,1,1,1,1,1,0.962962962962963,1,0.954545454545454,1,1,1,1,1,1,1,1,0.952380952380952
"Garcia_Morales_2012_row_names",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.987951807228916,0.939393939393939,0.991071428571429,1,0.96,1,0.961538461538461,0.980392156862745,1,1,0.941176470588235,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.953488372093023,0.998204667863555,1,0.931034482758621,1,0.857142857142857,1,1,1,1,1,1,1,1,1,0.918367346938776,1,0,1,1,0.989583333333333,0.923076923076923,0.95,1,1,1,1,1,0.975609756097561,1,1,1,1,1,1,0.958333333333333,0.926829268292683,0.9375,1,1,1,1,1,1,1,1,0.987341772151899,1,1,1,1,1,1,1,1,1,1,1,0.958333333333333,1,1,1,1,1,1,0.91304347826087,1,0.984126984126984,1,0.911764705882353,1,1,0.979591836734694,1,1,1,1,1,0.791666666666667,1,1,1,1,1,1,0.954545454545454,1,1,0.9,0.92,1,1,1,0.896551724137931,0.84,0.888888888888889,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.954545454545454
"Genrich_2017_row_names",0.936170212765957,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.979591836734694,1,1,1,1,0.974358974358974,1,0.975,1,1,0.987012987012987,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.981132075471698,0.953488372093023,1,1,1,1,1,1,1,1,1,1,1,1,0.976190476190476,1,0,0.9375,1,1,1,1,1,1,1,1,1,1,1,1,1,0.980392156862745,0.96,1,1,1,1,1,1,1,1,1,1,1,0.989247311827957,0.984126984126984,1,1,1,1,1,0.982905982905983,0.979166666666667,1,1,1,1,0.96969696969697,0.948717948717949,1,1,1,1,0.973684210526316,0.963636363636364,0.987012987012987,1,1,1,1,1,0.96,0.948717948717949,1,1,1,1,1,1,1,1,1,0.975,1,1,1,0.971428571428571,1,0.970588235294118,1,1,0.977777777777778,1,1,0.98780487804878,1,0.973684210526316,0.971428571428571,1,1,1,1,1,0.976190476190476,1,0.914285714285714,1,1,1,1,1,1,1,1,1
"Gomes_2013_row_names",0.925,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.935483870967742,1,0.96969696969697,0.964912280701754,1,0.985714285714286,0.966101694915254,1,1,1,1,0.974358974358974,0.961538461538461,0.96551724137931,0.964285714285714,1,1,1,1,1,1,1,1,1,1,1,0.96,1,0.978260869565217,0.882352941176471,1,1,1,1,1,0.96969696969697,0.96875,1,1,1,1,1,0.971428571428571,1,0.9375,0,0.990291262135922,0.970588235294118,1,1,1,1,1,1,1,1,1,1,1,1,0.953488372093023,0.982142857142857,1,1,1,1,1,1,1,1,1,1,1,0.982142857142857,1,1,1,1,1,0.990990990990991,1,1,1,1,1,0.961538461538461,0.96969696969697,1,1,1,1,0.933333333333333,0.958333333333333,0.985714285714286,1,0.952380952380952,1,1,0.982142857142857,0.953488372093023,0.903225806451613,1,1,1,0.941176470588235,1,1,1,1,0.96875,1,1,1,1,0.964285714285714,0.96969696969697,0.923076923076923,1,1,0.973684210526316,1,1,0.944444444444444,1,0.933333333333333,0.925925925925926,1,1,1,1,1,0.838709677419355,1,0.851851851851852,1,1,1,1,0.976190476190476,1,1,1,0.96551724137931
"Gorchov_1995_row_names",0.990196078431373,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.98019801980198,0.986577181208054,1,0.98876404494382,1,0.989130434782609,1,0.989247311827957,0.982905982905983,1,0.992307692307692,0.991666666666667,1,1,0.982758620689655,1,1,1,1,1,1,1,1,0.990566037735849,1,1,1,1,1,1,1,0.990990990990991,1,1,0.989690721649485,0.988888888888889,1,1,1,1,1,1,1,1,1,1,1,0.989473684210526,0.989583333333333,1,0.990291262135922,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.982608695652174,1,0.99,1,1,1,1,1,1,1,1,0.993150684931507,1,1,1,0.98936170212766,1,1,0.994152046783626,1,1,1,1,0.989010989010989,1,1,1,1,1,1,0.989010989010989,1,1,1,0.980392156862745,1,1,0.982608695652174,0.990384615384615,0.989247311827957,1,1,1,0.978723404255319,1,1,1,1,1,1,1,1,1,1,1,1,0.982456140350877,0.99,0.989795918367347,0.989473684210526,0.989583333333333,0.977443609022556,1,1,0.988636363636364,1,1,1,1,1,0.989473684210526,1,0.988888888888889,1,1,1,1,1,1,1,1,0.98876404494382
"Hayashi_1996_row_names",0.9375,0.952380952380952,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.956521739130435,1,0.958333333333333,0.979591836734694,1,1,0.96,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.976190476190476,0.996389891696751,1,0.925925925925926,1,0.9,1,1,1,1,1,1,1,1,1,0.959183673469388,1,0.923076923076923,1,0.970588235294118,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.95,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.990196078431373,1,1,1,1,0.954545454545454,1,1,1,1,1,1,1,1,1,1,0.939393939393939,1,1,1,1,0.863636363636364,1,1,1,0.92,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.928571428571429,1,1,1,1,0.954545454545454,1,1,1,1,1,1,0.961538461538461,0.986666666666667,1,1,1,1,1,1,1,1,1,1
"Hernandez_Montero_2015_B4_Dry_row_names",1,0.928571428571429,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.941176470588235,0.976190476190476,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.976744186046512,1,0.95,1,1,1,1,0,0.666666666666667,1,1,1,1,1,1,1,1,1,1,1,0.975,1,0.958333333333333,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.947368421052632,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.954545454545454,0.947368421052632,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9875,1
